X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.526343541,53.465341784,158,2022/08/09 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,113A ST/33 AV,9,8,2022,2022/08/09
-113.614034837,53.523753765,159,2022/08/09 12:00:00+00,Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,169 ST/88 AV,9,8,2022,2022/08/09
-113.443721643,53.422536929,160,2022/08/09 12:00:00+00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,12 AV SW/12 AV SW,9,8,2022,2022/08/09
-113.490812097,53.5994222460001,161,2022/08/09 12:00:00+00,Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,137 AV/97 ST,9,8,2022,2022/08/09
-113.58326976,53.54128546,162,2022/08/09 12:00:00+00,Weapons,Weapons Violations,Weapons Complaint,152 ST/STONY PLAIN RD,9,8,2022,2022/08/09
-113.615357569,53.524858894,163,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,170 ST/90 AV,9,8,2022,2022/08/09
-113.615953368,53.5317557380001,164,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,170 ST/95 AV,9,8,2022,2022/08/09
-113.445475586,53.612777142,165,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,151 AV/69 ST,9,8,2022,2022/08/09
-113.49178326,53.5642442600001,166,2022/08/09 12:00:00+00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,114 AV/97 ST,9,8,2022,2022/08/09
-113.515786395,53.5367872750001,167,2022/08/09 12:00:00+00,Non-Violent,Property,Fraud General,113 ST/113 ST,9,8,2022,2022/08/09
-113.377665113,53.579660512,168,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,HERMITAGE RD/HYNDMAN CR,9,8,2022,2022/08/09
-113.497627871,53.516128248,169,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,104 ST/80 AV,9,8,2022,2022/08/09
-113.497627871,53.516128248,170,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,104 ST/80 AV,9,8,2022,2022/08/09
-113.44682589,53.5064901900001,171,2022/08/09 12:00:00+00,Non-Violent,Property,Fraud Personal,79 ST/ARGYLL RD,9,8,2022,2022/08/09
-113.447138723,53.4905581610001,172,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,84 ST/ROPER RD,9,8,2022,2022/08/09
-113.488696535,53.5199998530001,173,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 ST/84 AV,9,8,2022,2022/08/09
-113.422862827,53.6315307,174,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Over $5000,58 ST/MCCONACHIE DR,9,8,2022,2022/08/09
-113.491293115,53.5180632190001,175,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,101 ST/82 AV,9,8,2022,2022/08/09
